Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Energy Consumption,External Carbon Source,Effluent TN
14.50683544,16.00405061,66259.46836,8.918227852,12.36303798,27.08936722,6.419139279,0.134658228,23.9382278,5.697822791,20581.51899,1.474810133,4.73617722
14.10878848,14.7,66793.30188,9.734798897,13.9033267,33.43349058,9.68909879,0.140878848,22.33135549,6.380285496,20735.9856,2.029786491,4.805652933
14.12412946,14.7,66764.15402,9.629713176,13.7345759,33.5792299,9.504239967,0.142412946,22.12425224,6.31968862,20755.16183,1.994502234,4.841704239
29.15395063,31.52515649,60161.92159,8.51853431,17.74449038,38.2675682,10.07290067,0.13,35.42567615,7.668004016,20993.97071,2.601840084,4.977068619
33.84821079,36.62744715,55021.08356,8.523245819,18.47541811,41.17016725,13.54295993,0.135584727,36.59737457,7.32078763,20266.22909,2.938687283,5.137279268
35.44374217,38.37940317,55077.70928,8.51386034,19.41396598,41.54558639,14.57536258,0.13871322,36.31581021,7.405256938,20219.3017,2.797905103,5.202977619
37.00846077,40.75751839,25564.75752,7.862289176,25.86710617,34.10397455,21.00111571,4.766820692,23.51507308,16.02396956,11342.45758,2.196398549,5.074444225
34.89449092,37.24173638,30116.61747,7.36434393,24.985576,33.77722873,21.41499163,5.984310467,25.19829708,16.69943236,12995.41228,2.483427701,5.333605999
35.73957582,38.50936373,28211.7961,7.557023288,25.35741336,33.89554062,21.26287635,5.568528695,24.53913086,16.47971029,12410.61353,2.38100341,5.24064666
14.04886733,14.97655882,64884.00863,9.015899685,12.37882416,31.17882416,7.999737861,0.159511327,23.27882416,5.634688236,20747.55663,2.28,5.285
15.88217802,18.1095707,65925.61885,9.77889425,11.61233507,27.57120422,6.625470166,0.13,23.30412564,5.124525649,20553.42408,1.856159167,4.906435605
14.28030239,15.33914041,64950.35335,9.138560266,12.27853563,31.07853563,7.951136498,0.157196976,23.17853563,5.562171918,20735.98488,2.28,5.285
26.1342887,29.25885356,46214.91297,4.217313182,15.28285565,50.66368938,10.0219729,3.003597703,29.78999478,7.859549777,16014.51381,1.944,5.405
27.24198824,28.18945491,46070.57289,3.900803887,14.79495301,42.15155692,10.43035719,2.258924175,27.84862882,10.0624487,15787.2524,1.960542985,5.146233059
27.06361797,28.22494244,45372.20327,3.840566043,14.7203838,42.46011506,10.59440934,2.126848821,28.06058701,10.14167137,16006.08612,1.976750165,5.165829492
18.36791793,22.261341,42032.32943,9.860982093,24.35715299,30.9307199,13.80892083,3.911333569,19.34786165,10.82758236,14532.08249,3.13381207,5.159588847
18.22622586,22.41443676,41088.72593,9.891110459,24.22415903,30.96208192,13.64967296,3.973765511,19.63421426,10.77942332,14470.41569,3.134806389,5.145318588
20.82480864,22.69691855,42575.08538,9.960724239,22.75562316,33.77842983,13.40308145,4.060107949,17.16178606,10.1195682,14304.52993,2.674005888,5.592280668
21.88242257,24.56328963,54317.5333,3.285933437,25.45726546,55.44125277,8.080713752,2.505935316,32.35223316,4.914804921,17766.97855,4.100425329,5.180045085
22.00436513,25.57073436,49712.25776,2.574722047,28.82093335,58.36329437,8.997460517,2.778164719,30.86726153,6.096190776,17063.84902,4.11,5.27
21.80241259,24.65307693,54277.81396,3.275524474,25.52412588,55.36863636,8.228734272,2.596465031,32.29867132,4.969157355,17865.83917,4.099022726,5.171905592
13.94383721,17.83694299,44757.88297,8.506747937,32.37339835,55.19112153,8.731336832,7.021330083,27.86354464,8.202416353,16389.35934,3.912759377,5.00871868
17.21790754,20.26369655,44453.00087,8.640919796,32.49157803,57.74472541,7.230454203,6.97747341,27.19051443,7.343552746,16550.47428,3.528959463,5.51797645
18.02248711,20.46340293,44183.97356,8.105807851,33.41600898,56.08704375,6.956682832,6.969199551,27.47014141,6.793317168,16404.67609,3.653430752,5.356340293
36.32549062,39.20825686,55311.08267,8.499142686,19.69097751,41.75862942,15.08998871,0.071391445,35.97928642,7.494214962,20253.3546,2.783897566,5.217584074
34.03553946,36.83314136,55027.73189,8.522143886,18.58561144,41.21424458,13.66417259,0.135952038,36.56431657,7.33070503,20260.71943,2.922158283,5.144992801
33.24183417,35.96162183,54999.56313,8.52681274,18.11872598,41.02749039,13.15059858,0.134395753,36.70438221,7.288685338,20284.0637,2.992191103,5.112310819
30.19195212,34.58504874,20001.92775,9.639746677,26.09860929,38.66581866,6.301092228,6.587272833,33.68245331,5.976027248,5909.553698,0.654762768,5.198107074
30.17898981,34.39636695,20064.40319,9.663950767,26.23131415,38.63776536,6.116559896,6.6053495,33.61228388,6.11502679,5840.464071,0.661161506,5.264087612
30.34086332,34.41760585,19914.05446,9.556953883,26.16803797,38.45978567,6.139980703,6.612378025,33.86678062,5.977622853,5928.012699,0.731257251,5.247138189
10.33069354,18.89201968,65124.60403,10.72913449,10.41289128,19.71227741,4.718655577,0.13,21.91534677,5.6,20501.53468,2.274413777,5.282946579
13.04720417,18.18572692,65532.08062,9.767489726,11.55382575,20.79888167,5.484711575,0.13,23.27360208,5.6,20637.36021,1.780008842,5.5437316
15.7673693,19.47121769,65617.77541,10.60943596,10.97121769,28.02345775,6.888787469,0.13,21.98160253,4.87373751,20581.60253,2.28,5.205
34.82908662,41.75180315,32060.32457,7.871147635,17.40679134,62.10360631,7.824922448,0.08,41.12271654,5.644903938,18000,2.885222442,5.482229527
36.5384005,43.83017182,32171.20364,7.248358888,19.01780569,65.76717776,10.08630865,0.08,41.34793127,6.152882349,18082.19431,3.097531396,5.403700594
37.99435867,44.97413895,32110.67738,7.337796318,18.93460808,67.55592636,10.32550178,0.08,40.89034442,6.337997031,18165.39192,3.003934086,5.468178741
23.55492483,26.6505472,48562.09987,2.089475045,30.53216476,63.38293445,9.520306074,2.167263982,32.71203848,7.330218881,16490.5472,4.11,5.11
29.68051502,34.84365137,44381.9485,2.398291405,28.5474546,61.48771212,9.425155057,2.565155057,28.24915153,9.111357544,17778.56058,3.673636624,6.174774733
22.87392461,29.19569844,43908.51164,2.471259977,32.08424058,58.67278271,10.04956984,2.709398559,28.72607539,8.710513855,16222.06319,4.11,5.375
23.49126706,29.20873294,45534.35769,2.551927597,31.39818992,59.74398218,9.922792954,2.362958089,30.2843442,8.708048593,16294.74436,4.11,5.135
25.95978828,32.02554794,43963.29402,2.512347696,30.53554048,59.59532876,9.808249441,2.619260772,28.43086924,9.068793648,16893.43611,3.917613762,5.742489787
26.25558259,32.25795775,43991.60576,2.505586684,30.37919206,59.73477465,9.779092574,2.614190013,28.41396671,9.077667478,16962.73649,3.898387132,5.776717414
12.23188947,15.48937018,67296.24057,10.37501992,11.51594473,32.77165381,6.359763502,0.130531491,26.63976434,4.982047132,21192.02763,1.82814953,5.901673306
14.23819738,15.49549346,65378.15442,8.938390567,12.32060087,28.69892746,7.116759807,0.148090131,23.89549346,5.630150218,20650.75109,1.918733966,5.126373443
13.48899284,15.07033572,65571.21538,9.390288943,12.14449642,31.65422859,7.533059982,0.151483214,24.26523575,5.45695285,20877.75179,2.149409281,5.573429648
24.75530602,26.11208718,36428.9388,8.702712467,20.20878466,44.66191107,11.6051299,1.327294158,33.67948039,3.838284916,12564.39895,2.532132101,5.053408195
23.30107282,25.9984278,36518.59274,9.221899619,18.09530728,45.98808979,12.33358852,2.609101661,31.51450103,5.672992855,13692.78056,2.649412125,5.534444472
23.65021374,25.96139278,36649.95725,9.084471619,18.85253504,45.96792922,11.95675018,2.316854064,32.2729993,5.189511387,13257.5932,2.58035431,5.384935879
36.12733165,40.71653987,31119.4699,8.574101624,19.12013713,66.29783038,8.307337279,0.08,43.12805485,7.050213207,17664.38903,2.329282426,6.359783038
34.47207554,41.49647811,32319.78154,7.519312332,18.26276738,62.98834392,9.474989556,0.08,41.69534592,5.832205465,18008.72117,3.270234793,5.376628927
33.04122026,38.7540055,32522.08858,8.338079516,16.35496035,60.68307709,8.62045099,0.08,41.45687004,5.518212224,18028.59416,3.4530663,5.460095485
34.91240371,41.24689907,31856.86786,8.255135789,16.95843127,61.91686254,7.055145913,0.08,41.11860557,5.706386284,17953.53669,2.678933932,5.66151195
34.84478745,41.80675607,32070.21609,7.829932948,17.50492155,62.21351214,7.942286177,0.08,41.16196862,5.663744938,18000,2.90288588,5.47398659
36.21225992,42.71008019,31971.02998,8.083297142,17.02915484,63.52969771,7.706048115,0.08,40.55476866,5.769972444,18081.74378,2.74,5.6
13.7782193,17.2608913,67145.0407,9.018616864,12.61462648,23.0441937,8.725421605,0.145691568,20.00906062,5.499761463,20606.91568,1.628966339,5.518696377
14.51790617,17.89146354,66928.98419,8.999146354,12.59715451,20.77703213,7.523882715,0.134857726,21.63109638,5.522276389,20652.84549,1.37,5.655
13.76399105,17.6922183,67842.53491,9.041606439,12.7290161,21.90366704,8.949066196,0.141450805,19.04819316,5.524146682,20593.52415,1.435286218,5.473107343
25.81309181,29.17757651,65981.00288,9.17934541,17.5355153,47.13676959,8.799470839,0.13,39.04317552,6.914414985,22310.65459,4.044651846,5.644749279
28.22617464,31.18847887,60693.66612,8.873886386,17.15956995,44.66073804,10.29254047,0.13,38.12734273,6.985078309,21351.65916,3.662577654,5.317929391
25.67848047,29.06540039,66094.07641,9.186075977,17.51308008,48.0611008,8.900878049,0.13,39.07907188,6.848455428,22303.92402,4.085932657,5.616480898
22.75509079,24.7059987,66219.67737,9.783544098,13.11018158,37.12470817,8.94076524,0.13,25.6790856,7.005856031,20544.90921,2.326835279,5.644909209
24.62297823,26.54324712,65532.15928,8.083642257,17.80541869,46.12703201,10.41203303,0.13,34.12839692,7.543381561,21555.40845,2.74,5.23
22.75292993,24.6822292,66204.7458,9.758694161,13.10585985,36.77464818,8.970152992,0.13,25.58184672,7.033082919,20547.07007,2.306955329,5.647070073
22.21664473,23.87801394,22426.14155,8.417846037,19.82243458,43.64970673,11.65076696,0.219954778,35.20924653,7.705731217,17372.44747,6.340562088,5.5932882
22.04547378,23.64285298,22392.66886,8.266169897,19.85742485,42.60134313,11.57469257,0.216948157,35.47094808,7.549717426,17351.80839,6.385576612,5.582733597
22.28342411,24.08593661,22161.61042,8.235641551,19.95034568,43.28063909,11.92987017,0.095967599,35.18051275,7.652703755,17372.27653,6.421188709,5.58974391
32.1630309,32.85720427,35854.10082,6.628755387,23.7806499,33.8554847,21.78795151,7.271345869,27.26652228,17.47602351,14776.71419,2.796800693,5.619456769
32.22611574,33.17036137,36230.8184,6.776653883,23.94031935,33.12246467,21.77779983,7.345562338,27.31475426,17.40829738,14714.73947,2.763847945,5.631568477
32.26564997,33.24246591,36178.08138,6.778317801,24.04213357,34.01668649,21.98786939,7.266533833,27.56132173,17.3400177,14872.57883,2.767422209,5.629338611
35.88630238,43.31780902,32198.31229,7.208301432,19.05506844,64.96602864,9.979178249,0.08,41.55287639,6.069972732,18044.93156,3.13945199,5.374821963
37.2329128,40.51000222,31083.39265,8.193518813,19.47873395,73.96278442,8.761139887,0.08,43.10430279,6.402493803,18059.3039,3.187772023,5.80574679
38.52761828,45.39312865,32088.50901,7.370553694,18.9041361,68.21107388,10.41310872,0.08,40.72274854,6.405797181,18195.8639,2.969653111,5.491794524
19.16776721,22.66337469,66396.46029,9.451394344,15.26766926,66.79072718,7.256755865,0.079437987,38.23338796,5.593843017,22098.23068,3.635847322,5.63989453
20.97767316,23.85784404,63260.08818,9.13851445,14.94132339,65.65124885,6.712482454,0.13264461,38.2677695,5.423058716,21391.73968,3.65,5.23
19.11818889,22.94869076,66280.73589,9.434916089,15.08111758,67.24787561,7.253861705,0.176029589,38.63279306,5.514853847,22010.7162,3.61059112,5.649235843
25.20564938,30.7688259,46778.91419,4.542692276,15.77968232,59.37174625,9.495299563,3.888755569,31.41559102,5.502840878,16275.56632,1.983230771,5.655165073
24.92490786,30.29418724,46721.62556,4.59245566,15.81532178,59.45887314,9.537038364,3.878293474,31.54140335,5.432298703,16222.07015,1.971107953,5.653559744
26.80110512,28.45867386,45921.51375,3.970591107,14.94944744,45.09577229,10.35204703,2.490149061,28.62306605,9.406563868,15907.82318,1.944,5.405
36.10797315,40.84091481,31960.19679,8.432568194,20.11980695,66.47444398,8.601053287,0.079261435,43.43634074,7.340092315,17753.39907,2.347209398,6.339039028
35.00638911,40.50196588,37130.01543,7.758907184,24.82272343,65.75417749,10.15598153,0.075024573,44.79213649,8.602677102,18346.55971,2.732763813,6.04669557
34.07262928,40.79202581,40325.21358,7.013232755,27.39234936,64.6604526,11.42774789,0.072661638,45.17564664,9.000743616,18770.52804,3.19,5.52
20.98676458,22.97812553,66259.4177,9.127182214,12.94295554,26.60275499,9.560699213,0.131901482,22.34433303,7.270265033,20590.49259,1.734433303,5.671477768
22.75941411,24.75355517,66249.55147,9.833262221,13.11882821,37.82508519,8.881968156,0.13,25.87363478,6.951382263,20540.58589,2.366609777,5.640585894
15.96382972,19.6889673,67492.01582,9.060284081,12.7757102,21.91988564,9.18160979,0.137476327,19.83565302,6.010350184,20562.61837,1.483565302,5.587855101
30.19171681,31.82125799,61815.27738,8.595958067,17.17305378,29.18403533,12.01087815,0.136217563,31.44201766,9.053921591,20194.56092,2.624201766,5.442794285
29.05832534,30.39360605,66249.55854,8.600055183,17.74222648,25.08059019,11.28240524,0.137861084,29.11223608,9.800022796,20474.31022,2.181609886,5.533164589
29.45986523,30.64791464,66099.65032,8.618793711,17.52807188,23.34058402,11.85660727,0.139199551,28.41623361,10.05031599,20240.07862,2.243179335,5.637564959
22.71834928,24.44348565,43958.20344,6.766476797,35.08550478,47.53449877,8.078477152,6.885724761,24.17945094,5.90432979,16304.88062,3.562220333,5.853577754
23.81247915,25.07636032,44081.97847,6.868603543,34.51390897,48.99862578,7.818620223,6.877361188,25.50137422,5.717636032,16240,3.65,4.68
23.17875523,24.71035301,44261.83238,6.928958671,35.08186716,49.57875523,8.27569717,6.885906642,24.68497909,5.881861131,16322.69299,3.470831858,5.83616396
11.72950852,18.52832779,65334.42628,10.23395399,11.00039358,20.27180341,5.113121401,0.13,22.61475426,5.6,20571.47543,2.01982945,5.417232818
15.75657111,18.13714248,65832.40003,9.402399696,12.12400026,23.90228417,6.458399762,0.13,23.75542902,5.360971597,20709.71431,1.614399828,5.590800119
15.23480794,17.48824218,65896.07682,8.959755533,12.47206055,21.99802085,6.086472654,0.13,24.43725261,5.6,20726.71712,1.37,5.205
35.76614738,39.22815414,31460.15579,8.450569847,18.26142257,70.23663011,8.461812032,0.08,42.72362406,6.101792559,18050,3.307184586,5.748071128
38.8517773,43.06780813,31368.3128,7.992779615,19.21971563,73.50950236,9.505817558,0.08,41.93872034,6.554667066,18172.62441,3.038836488,5.753943126
36.43169944,41.10196067,31451.28998,7.859142207,19.36633989,70.65849721,9.084272821,0.08,42.73218961,6.249656883,18033.29249,3.196658497,5.652949369
27.20551154,32.61377885,41003.12952,6.634212884,17.84862212,55.35235962,10.69044178,0.072431106,36.60924904,9.856081636,17885.0887,2.747538751,5.9364175
27.38127499,33.05318748,41262.38061,6.44966126,17.80468125,57.02211241,11.42205715,0.070234063,38.49870615,10.52837684,17808.19219,3.147400604,5.822171256
29.31190369,33.40590459,45702.67371,7.462427991,15.04685869,48.55819533,8.991582362,0.115885688,39.38828533,7.059154371,17723.52385,3.893580557,4.60167687
17.58486725,21.39414023,47260.8026,3.497191189,18.25276617,41.90655672,10.39227642,4.275367634,27.01671558,14.8205421,14930.26505,2.647289528,5.798077854
17.69927902,21.31353642,47585.75085,3.437388012,18.08261564,41.72504603,10.40281875,4.224863868,27.16614962,14.93769164,14965.48898,2.593988538,5.83609105
17.650603,21.37865711,47508.68948,3.527605496,18.04366378,41.66134978,10.34838687,4.17645153,27.17255904,14.97247304,14916.70592,2.63082314,5.839820777
28.82608005,29.37117446,37315.56235,5.860351597,23.08140841,56.20227058,15.18834242,1.028756808,38.22262743,9.622399557,11375.07462,2.498343564,5.830600669
28.63031391,29.86327866,37137.92568,5.919429329,23.08005031,56.33775508,14.99624112,1.058794341,38.56281982,9.783598162,11529.49264,2.579103779,5.848321012
28.74390768,29.8241636,37123.91928,5.971704658,22.90275136,56.17483724,15.13466067,1.055722743,38.28620358,9.742471855,11365.73174,2.570701865,5.841231627
29.50004722,31.23854825,45502.69357,3.653237218,13.09384443,21.06649035,16.45475005,1.561663207,22.70215449,11.85886684,16348.78609,1.971406677,5.875535745
28.99969897,31.82334396,45338.07666,3.709512155,13.23375282,21.81734893,16.60007659,1.523803076,22.76334341,11.75113812,16426.89984,2.029224949,5.877974019
29.34076686,31.68506731,45743.5143,3.701105866,12.96352532,21.11660256,16.49237693,1.499427634,22.32823115,11.81732034,16402.47505,2.063687277,5.878372004
33.03655624,39.94146084,38708.83532,8.341464357,16.63168675,76.03172188,7.068646841,0.08,47.20368724,7.047321786,18079.87826,4.287568772,5.869756526
